,Score,Gen
6964e37f-380e-46a4-b454-060f281fa522,375.0,0.0
39a933a6-54c2-4bb3-ae2a-eab63d19b081,165.0,0.0
1d11ab02-37d3-4640-80ea-e7f04cda5ae7,433.0,0.0
c320b422-18e5-4d35-8bde-8d82f5ee48a6,315.0,0.0
37303b8a-64e7-4432-8864-dc4ed9e98efd,468.0,0.0
022f6a3a-bbc8-446a-830b-e55c73c809d2,1495.0,0.0
72f45f49-dd62-4b6a-84a4-77f0e244f481,89.0,0.0
db1ba732-b28c-47f2-947c-6aa48b42ab84,458.0,0.0
aa941ee4-f4c5-4e59-ac30-28d9d88c3504,1393.0,0.0
382c3829-12f9-4e72-8590-cf28db681594,560.0,0.0
8cbfd18d-46a5-4dd8-8a61-ace707177078,449.0,1.0
6a5b31ab-78a8-4ff9-ae88-0eaf72f632bc,1401.0,1.0
07cc1cf5-968e-4229-b96c-eb20ef9fa1d7,547.0,1.0
e389dd48-fe31-4579-9e3b-9ea73c857cdf,1435.0,1.0
fa2b342a-0b02-4e09-96e7-45edd156d142,383.0,1.0
a9fafa9c-95d4-4109-98a1-23d8566bdd9f,1459.0,1.0
7b963664-f275-4e2e-afb3-540fbf67afbe,438.0,1.0
aeb25c9a-7d35-412c-9166-466ae3164a85,371.0,1.0
95eb7c93-8626-49d3-91cf-882519280683,473.0,1.0
bb5a190c-019c-483c-a85c-bb9a42bad35c,442.0,1.0
3c1e821a-9b83-484a-a778-de2650433817,6443.0,2.0
e0d16c1d-4ce5-4434-816b-3a8788c344c5,6388.0,2.0
36eeda36-7135-4fae-b3ad-75a3c9e37d4e,403.0,2.0
c3e66e5f-2a87-4311-8fa7-2a01b877ea7f,1478.0,2.0
d60982d4-7de4-4dee-971d-7e4a468ec155,421.0,2.0
7fb1a355-613c-4fb5-b1f0-e9aaa8564bfe,3486.0,2.0
e67bd174-0f93-43f7-8adc-aa76bbdc14b5,1409.0,2.0
e6361efe-b5f9-4e67-80b3-fb53a56930a2,3386.0,2.0
553c107a-0ab3-4329-a076-6791f0082b29,1468.0,2.0
3f650ef7-3ebe-488c-b2cd-6a0a69943ca3,1395.0,2.0
4cae3613-64b9-46c5-a937-a7705dc649be,2401.0,3.0
d4bfcb78-704d-476f-a4ad-2fd285f7f767,516.0,3.0
d75a5986-9aae-4fa3-8e48-ffc9d9405b7b,6420.0,3.0
42f6f07f-ac09-40e0-b801-a0eafe6fabaf,5520.0,3.0
8e6ac1a4-72e7-404f-8b82-ac13d50d1f3f,1412.0,3.0
3e78225a-e3ef-493d-92e2-c2107d0ea849,26249.0,3.0
9b536a8a-27db-48ee-8529-a8b251fa8dd1,431.0,3.0
35ab6a82-2d5c-4230-855b-c0a7ea9dbe09,488.0,3.0
628380aa-a98f-44ce-8a8f-4bc95dad308d,6446.0,3.0
aa3fcd23-90ce-4c4d-842f-51b4337014f7,3495.0,3.0
01aa4613-9c35-41bc-ba18-a8516dac0bb7,6426.0,4.0
0eeb643a-8843-42b0-b0a5-106413fc4463,5491.0,4.0
3e51b658-8652-466c-85f4-789ed92f7e37,1293.0,4.0
d5b320c5-eb08-4e8f-8d9b-bbd67ee56852,25252.0,4.0
1e6c11bf-d675-4d81-a785-2309963e9f3a,34349.0,4.0
137d208c-6f35-4332-b4d5-fb72ec33e363,341.0,4.0
61f8da79-ba51-4b32-8b9a-5ece2a903e8e,2261.0,4.0
8be18d64-e437-4594-872a-72e8ccf53264,383.0,4.0
102c84e9-fc08-44d4-b517-561d7093d6d7,6455.0,4.0
f4753406-0ca2-4788-b021-8435e1481909,288.0,4.0
3f0809b1-404e-4f7a-9b15-96322a180737,2306.0,5.0
faaff138-69da-48ed-810c-29aec06cca11,34335.0,5.0
14d548bc-4fdf-47fc-9e21-57e2dd4f41cf,22245.0,5.0
c7b791ee-d3ed-4571-b9c6-ee396be43d1d,26266.0,5.0
96b0a181-2ba8-4e9e-89d2-b24b394ec788,24241.0,5.0
8f71c856-8f09-4785-8278-f6425ecee822,450.0,5.0
b7cfb2f8-a703-4684-87f7-fa85a844490f,4393.0,5.0
72b9e48f-5f52-44b2-bb0f-9f632ca1e92f,35377.0,5.0
8393e784-d7c2-41c5-84e6-b54864a8fa2f,1399.0,5.0
322ba096-fe0d-4767-83b3-b8be0971b8ad,34357.0,5.0
ea2d1c20-b05d-47ef-8ff3-095a641b71d1,1287.0,6.0
442312bb-9de2-48af-9b6b-1b551d2866fe,1450.0,6.0
3531b7ee-c1e1-42aa-be29-763e1b9526d8,33367.0,6.0
4edafabd-1776-4fd1-ab4e-debbc5fc3d93,25264.0,6.0
4e59c4cc-5da9-4310-a0ae-40be336529e0,25237.0,6.0
0cab55d1-0920-4096-90a3-a138778cea3b,18376.0,6.0
edbf0dab-cbb3-4bcf-81d8-e7d342b9bd98,26290.0,6.0
b21ce41f-60b7-4656-8880-f813574d78a1,28281.0,6.0
fd95d88e-d0bc-4fc9-b95c-320ff972cbe6,29307.0,6.0
72ebad68-948d-47d3-9da1-9e9c2fdf5c21,27268.0,6.0
05133c0f-71f7-47f6-9bec-bab0c535198b,364.0,7.0
ecdade3a-cb37-4be2-af92-f7814424e6bf,321.0,7.0
84888329-a9a9-4e62-b363-4c50dedf8f5a,26274.0,7.0
a9d4f4d1-94bb-4a84-9df2-188f79b4af7c,29344.0,7.0
14f8c1e2-e49d-4a1c-872c-1bd25ef4b7f8,30254.0,7.0
5e3d23f9-a96c-4a90-a903-76da2a399d14,29283.0,7.0
